idpessoa,cidade,abc,risk_score,confidence,stcredbloqueado
0100CQNFEQ,"Sorocaba",A,94.95,66.50,true
0100BNPY6H,"Sorocaba",A,94.90,68.00,true
0100COH00D,"Sorocaba",A,94.88,66.50,true
0100CNJZ1Q,"Sorocaba",A,94.86,66.50,true
0100C1YS02,"SAO PAULO (SP)",A,94.76,68.00,true
0100CQQT0U,"Sorocaba",A,94.58,66.50,true
0100CLT73S,"Sorocaba",A,94.57,66.50,true
0100CS1409,"Sorocaba",A,94.19,66.50,true
0100CRO60L,"Sorocaba",A,94.11,66.50,true
0100BB24KZ,"Araçoiaba da Serra",A,94.04,68.00,true
0100BT3S5G,"Sorocaba",A,94.00,68.00,true
0100CPBM30,"Sorocaba",A,93.97,68.00,true
0100COSK0D,"Sorocaba",A,93.88,66.50,true
0100B5N80D,"Sorocaba",A,93.87,69.50,true
0100AFU9RA,"Sorocaba",A,93.84,68.00,true
0100CAR55P,"Sorocaba",A,93.77,71.00,true
0100CBAHHQ,"Sorocaba",A,93.74,66.50,true
0100CWME81,"Iperó",A,93.61,66.50,true
0100CUSDTD,"Sorocaba",A,93.53,66.50,true
0100B6WBI0,"Sorocaba",A,93.30,68.00,true
0100CTA20J,"Sorocaba",A,93.16,66.50,true
0100CGTC0A,"Sorocaba",A,93.10,68.00,true
0100CV8Y05,"Sorocaba",A,92.85,66.50,true
0100CX291C,"Sorocaba",A,92.73,66.50,true
0100CWKP4G,"São Roque",A,92.68,66.50,true
0100CZ6S2Z,"Sorocaba",A,92.57,66.50,true
0100CEUQBA,"Sorocaba",A,92.56,66.50,true
0100CF9P07,"Sorocaba",A,92.50,69.50,true
0100D291C5,"Sorocaba",A,92.36,66.50,true
0100CXMCHV,"Sorocaba",A,92.27,66.50,true
0100BYKB31,"Votorantim",A,92.19,68.00,true
0100CZ8UAI,"Sorocaba",A,91.66,66.50,true
0100D5MR6W,"Sorocaba",A,91.51,66.50,true
0100D5G4NE,"Carapicuíba",A,91.36,66.50,true
0100CJAIAV,"Sorocaba",A,91.32,66.50,true
0100D2ON2Z,"Itapevi",A,91.27,66.50,true
010062GS0J,"Sorocaba",A,91.05,69.50,true
0100CIQD17,"Sorocaba",A,91.04,66.50,true
0100C4ED4N,"Sorocaba",A,90.74,72.50,true
0100D6FLLE,"Sorocaba",A,90.65,66.50,true
0100BU6S01,"Sorocaba",A,90.53,68.00,true
0100BOJNNJ,"Sorocaba",A,90.40,68.00,true
0100CK6K39,"São Paulo",A,90.35,66.50,true
0100CK4L39,"Sorocaba",A,90.23,66.50,true
0100DBVAPC,"Itu",A,90.08,66.50,true
