idpessoa,cidade,uf,risk_score,confidence,abc,recommended_product,pitch
0100DEG0A1,"Votorantim",SP,73.37,68.00,A,0100BVGELN,"Comprado frequentemente por clientes com perfil similar ao seu."
010008MIAM,"Votorantim",SP,72.00,71.00,C,01005BW49V,"Temos uma oferta especial para você repor seu produto favorito!"
0100E2ZA7F,"Votorantim",SP,71.87,68.00,C,01000LD568,"Comprado frequentemente por clientes com perfil similar ao seu."
0100EE5DUA,"Votorantim",SP,71.68,66.50,C,01000N2W4T,"Comprado frequentemente por clientes com perfil similar ao seu."
0100EEBZ7H,"Votorantim",SP,71.12,66.50,C,0100BVGBFW,"Comprado frequentemente por clientes com perfil similar ao seu."
0100AN9KCL,"Votorantim",SP,70.92,75.50,A,01000E0HFX,"Comprado frequentemente por clientes com perfil similar ao seu."
0100EEKA4F,"Votorantim",SP,69.44,66.50,C,01000AYCA1,"Comprado frequentemente por clientes com perfil similar ao seu."
0100C79G2I,"Votorantim",SP,68.10,68.00,C,010091Q7D8,"Comprado frequentemente por clientes com perfil similar ao seu."
0100EM8Z0O,"Votorantim",SP,67.37,66.50,C,01000EOO77,"Temos uma oferta especial para você repor seu produto favorito!"
0100BA4EHI,"Votorantim",SP,67.12,68.00,A,01003UFKEG,"Comprado frequentemente por clientes com perfil similar ao seu."
0100DT5SSM,"Votorantim",SP,67.02,66.50,B,01003UFKEG,"Temos uma oferta especial para você repor seu produto favorito!"
0100BGMR2T,"Votorantim",SP,66.80,68.00,B,01005BTR9P,"Produto já comprado por você anteriormente."
0100DI6O7P,"Votorantim",SP,66.50,68.00,B,01000MN14Z,"Comprado frequentemente por clientes com perfil similar ao seu."
0100EG0LCJ,"Votorantim",SP,66.27,66.50,B,01000MNHKM,"Comprado frequentemente por clientes com perfil similar ao seu."
010001774D,"Votorantim",SP,65.63,66.50,C,0100657Q5D,"Temos uma oferta especial para você repor seu produto favorito!"
0100EJXL08,"Votorantim",SP,64.93,66.50,C,01000O2I1H,"Comprado frequentemente por clientes com perfil similar ao seu."
0100EK9S15,"Votorantim",SP,61.77,66.50,B,01000N2W4T,"Comprado frequentemente por clientes com perfil similar ao seu."
0100EN8C5M,"Votorantim",SP,60.12,66.50,B,010091Q7D8,"Comprado frequentemente por clientes com perfil similar ao seu."
0100ELZH4J,"Votorantim",SP,59.61,66.50,B,01000KJ0V5,"Comprado frequentemente por clientes com perfil similar ao seu."
0100CKSGGQ,"Votorantim",SP,59.09,69.50,B,01000CD901,"Comprado frequentemente por clientes com perfil similar ao seu."
0100EQLR2N,"Votorantim",SP,58.95,66.50,C,01000NP78Q,"Comprado frequentemente por clientes com perfil similar ao seu."
0100EMJB02,"Votorantim",SP,58.90,66.50,B,01000MN14Z,"Comprado frequentemente por clientes com perfil similar ao seu."
0100ESST7K,"Votorantim",SP,58.75,66.50,C,01000FLBGS,"Comprado frequentemente por clientes com perfil similar ao seu."
0100EMLQ8I,"Votorantim",SP,58.59,66.50,B,01000KJ0V5,"Comprado frequentemente por clientes com perfil similar ao seu."
0100ETAHIK,"Votorantim",SP,57.33,66.50,C,01000KJ0V5,"Comprado frequentemente por clientes com perfil similar ao seu."
0100CWIWQM,"Votorantim",SP,56.79,69.50,A,01000FLS7T,"Produto já comprado por você anteriormente."
0100EU2C16,"Votorantim",SP,56.31,66.50,C,01000BYRQ1,"Produto já comprado por você anteriormente."
0100EOJIB5,"Votorantim",SP,55.73,68.00,B,01000NYN3V,"Comprado frequentemente por clientes com perfil similar ao seu."
0100DX6F1R,"Votorantim",SP,55.08,69.50,A,01000KJ0V5,"Comprado frequentemente por clientes com perfil similar ao seu."
0100EURJCF,"Votorantim",SP,53.12,66.50,B,01000N2M1N,"Comprado frequentemente por clientes com perfil similar ao seu."
0100F0OXOC,"Votorantim",SP,51.58,66.50,C,01000N9B1M,"Comprado frequentemente por clientes com perfil similar ao seu."
0100F1GSES,"Votorantim",SP,50.63,66.50,C,01000O2I1H,"Comprado frequentemente por clientes com perfil similar ao seu."
010001G4LH,"Votorantim",SP,50.49,66.50,B,01000AYE5G,"Comprado frequentemente por clientes com perfil similar ao seu."
0100EW9UPB,"Votorantim",SP,49.98,66.50,B,01000CD901,"Comprado frequentemente por clientes com perfil similar ao seu."
0100EVJ3R4,"Votorantim",SP,49.66,66.50,B,01008MAD0O,"Comprado frequentemente por clientes com perfil similar ao seu."
0100E5C475,"Votorantim",SP,49.56,68.00,B,01000NYFFY,"Comprado frequentemente por clientes com perfil similar ao seu."
0100EV6IBK,"Votorantim",SP,48.67,66.50,B,01000NUL0T,"Comprado frequentemente por clientes com perfil similar ao seu."
010008CD0V,"Votorantim",SP,47.17,66.50,B,01000KJ0V5,"Comprado frequentemente por clientes com perfil similar ao seu."
0100E4AZI8,"Votorantim",SP,46.54,69.50,A,01003UFKEG,"Produto já comprado por você anteriormente."
0100EH177S,"Votorantim",SP,46.26,68.00,C,01003UFKEG,"Produto já comprado por você anteriormente."
0100EX501R,"Votorantim",SP,45.09,66.50,A,01000L5K4V,"Comprado frequentemente por clientes com perfil similar ao seu."
0100F4SJ0R,"Votorantim",SP,44.80,66.50,B,01000N2UD9,"Comprado frequentemente por clientes com perfil similar ao seu."
0100F25E0F,"Votorantim",SP,44.71,66.50,B,01000N2UD9,"Comprado frequentemente por clientes com perfil similar ao seu."
0100D53X3Z,"Votorantim",SP,44.65,68.00,A,01000O2I1H,"Comprado frequentemente por clientes com perfil similar ao seu."
0100ES0Q92,"Votorantim",SP,44.40,68.00,B,01000MML4N,"Comprado frequentemente por clientes com perfil similar ao seu."
0100F67U0T,"Votorantim",SP,42.63,66.50,B,0100B5RE0X,"Produto já comprado por você anteriormente."
0100F5WE0Z,"Votorantim",SP,42.52,66.50,C,01000AYCA1,"Clientes que compram o que você leva também gostam deste item."
0100DOEX0B,"Votorantim",SP,41.95,68.00,C,01000KRYJG,"Comprado frequentemente por clientes com perfil similar ao seu."
0100FBJV2G,"Votorantim",SP,39.73,66.50,C,01000KEF01,"Produto já comprado por você anteriormente."
010003NAIO,"Votorantim",SP,38.18,66.50,B,01000MP37G,"Produto já comprado por você anteriormente."
0100FCJG4D,"Votorantim",SP,37.17,66.50,C,01000N2M1N,"Comprado frequentemente por clientes com perfil similar ao seu."
0100F8BE6M,"Votorantim",SP,36.93,66.50,C,01000KZTDQ,"Comprado frequentemente por clientes com perfil similar ao seu."
0100FCNZ0W,"Votorantim",SP,35.37,66.50,B,01000J5U0J,"Produto já comprado por você anteriormente."
0100FDH43X,"Votorantim",SP,34.83,66.50,B,01000CD901,"Comprado frequentemente por clientes com perfil similar ao seu."
0100FG8MIO,"Votorantim",SP,34.54,66.50,C,01000KXEK0,"Produto já comprado por você anteriormente."
0100FD4GC8,"Votorantim",SP,33.74,66.50,C,01000LQY0G,"Comprado frequentemente por clientes com perfil similar ao seu."
0100EQA52I,"Votorantim",SP,32.74,66.50,A,01000KRYJG,"Comprado frequentemente por clientes com perfil similar ao seu."
0100CPFL26,"Votorantim",SP,32.70,68.00,C,01000N2W4T,"Comprado frequentemente por clientes com perfil similar ao seu."
0100DZKMD3,"Votorantim",SP,30.67,68.00,B,01000N2M1N,"Comprado frequentemente por clientes com perfil similar ao seu."
